name,type,region_name
"Чапаево",settlement,"Республика Мордовия"
"Чекаевский",settlement,"Республика Мордовия"
"Черемишево",settlement,"Республика Мордовия"
"Шувалово",settlement,"Республика Мордовия"
"Щербаково",settlement,"Республика Мордовия"
"Языково",settlement,"Республика Мордовия"
"Звездный",settlement,"Республика Мордовия"
"Лопатино",settlement,"Республика Мордовия"
"Завод стройматериалов",settlement,"Республика Мордовия"
"Ромодановский",district,"Республика Мордовия"
"Ромоданово",settlement,"Республика Мордовия"
"Александровский Лужок",settlement,"Республика Мордовия"
"Алтары",settlement,"Республика Мордовия"
"Анненково",settlement,"Республика Мордовия"
"Разъезд Атьма",settlement,"Республика Мордовия"
"Белозерье",settlement,"Республика Мордовия"
"Болтино",settlement,"Республика Мордовия"
"Большое Чуфарово",settlement,"Республика Мордовия"
"Васильевка",settlement,"Республика Мордовия"
"Вырыпаево",settlement,"Республика Мордовия"
"Голубцовка",settlement,"Республика Мордовия"
"Грабовка",settlement,"Республика Мордовия"
"Дмитриевка",settlement,"Республика Мордовия"
"Заречный",settlement,"Республика Мордовия"
"Ивановка",settlement,"Республика Мордовия"
"Кавторовка",settlement,"Республика Мордовия"
"Каменка",settlement,"Республика Мордовия"
"Киселиха",settlement,"Республика Мордовия"
"Княжиха",settlement,"Республика Мордовия"
"Козловка",settlement,"Республика Мордовия"
"Константиновка",settlement,"Республика Мордовия"
"Кочуново",settlement,"Республика Мордовия"
"Курган",settlement,"Республика Мордовия"
"Курилово",settlement,"Республика Мордовия"
"Курмачкасы",settlement,"Республика Мордовия"
"Липки",settlement,"Республика Мордовия"
"Лыковщина",settlement,"Республика Мордовия"
"Малая Чуфаровка",settlement,"Республика Мордовия"
"Малые Березники",settlement,"Республика Мордовия"
"Нагорный",settlement,"Республика Мордовия"
"Новая Карачиха",settlement,"Республика Мордовия"
"Покрышкино",settlement,"Республика Мордовия"
"Пушкино",settlement,"Республика Мордовия"
"Пятина",settlement,"Республика Мордовия"
"Раздолье",settlement,"Республика Мордовия"
"Сабаново",settlement,"Республика Мордовия"
"Садовский",settlement,"Республика Мордовия"
"Салма",settlement,"Республика Мордовия"
"Старая Карачиха",settlement,"Республика Мордовия"
"Старая Михайловка",settlement,"Республика Мордовия"
"Трофимовщина",settlement,"Республика Мордовия"
"Уришка",settlement,"Республика Мордовия"
"Ханинеевка",settlement,"Республика Мордовия"
"Ромодановский Махоркосовхоз",settlement,"Республика Мордовия"
"Атьминский",settlement,"Республика Мордовия"
"Новотроицкая Горка",settlement,"Республика Мордовия"
"Молодые Всходы",settlement,"Республика Мордовия"
"Совхоз Садвинтрест",settlement,"Республика Мордовия"
"Красный Узел",settlement,"Республика Мордовия"
"Рузаевский",district,"Республика Мордовия"
"Акшенас",settlement,"Республика Мордовия"
"Александровка",settlement,"Республика Мордовия"
"Аргамаково",settlement,"Республика Мордовия"
"Разъезд Архангельское Голицыно",settlement,"Республика Мордовия"
"Архангельское Голицыно",settlement,"Республика Мордовия"
"Бекетовка",settlement,"Республика Мордовия"
"Боголюбовка",settlement,"Республика Мордовия"
"Болдово",settlement,"Республика Мордовия"
"Булгаки",settlement,"Республика Мордовия"
"Верхний Урледим",settlement,"Республика Мордовия"
"Дивеевка",settlement,"Республика Мордовия"
"Ждановка",settlement,"Республика Мордовия"
"Загорный",settlement,"Республика Мордовия"
"Зеленый",settlement,"Республика Мордовия"
"Инсар-Акшино",settlement,"Республика Мордовия"
"Ключарево",settlement,"Республика Мордовия"
"Ключаревские Выселки",settlement,"Республика Мордовия"
"Красный Клин",settlement,"Республика Мордовия"
"Красный Уголок",settlement,"Республика Мордовия"
"Куликовка",settlement,"Республика Мордовия"
"Кулишейка",settlement,"Республика Мордовия"
"Левжа",settlement,"Республика Мордовия"
"Левженский",settlement,"Республика Мордовия"
"Макаровка",settlement,"Республика Мордовия"
"Медведовка",settlement,"Республика Мордовия"
"Михайловка",settlement,"Республика Мордовия"
"Мордовская Пишля",settlement,"Республика Мордовия"
"Мордовская Полянка",settlement,"Республика Мордовия"
"Мордовское Баймаково",settlement,"Республика Мордовия"
"Надеждинка",settlement,"Республика Мордовия"
"Нижний Урледим",settlement,"Республика Мордовия"
"Новая Муравьевка",settlement,"Республика Мордовия"
"Новый Усад",settlement,"Республика Мордовия"
"Огарево",settlement,"Республика Мордовия"
"Озерки",settlement,"Республика Мордовия"
"Пайгарма",settlement,"Республика Мордовия"
"Пайгарм",settlement,"Республика Мордовия"
"Палаевка",settlement,"Республика Мордовия"
"Перхляй",settlement,"Республика Мордовия"
"Пишля",settlement,"Республика Мордовия"
"Плодопитомнический",settlement,"Республика Мордовия"
"Поповка",settlement,"Республика Мордовия"
"Пушкино",settlement,"Республика Мордовия"
"Русский Шебдас",settlement,"Республика Мордовия"
"Русское Баймаково",settlement,"Республика Мордовия"
"Рыбный",settlement,"Республика Мордовия"
"Совхоз N3 Дорурс",settlement,"Республика Мордовия"
"Совхоз Красное Сельцо",settlement,"Республика Мордовия"
"Спасское",settlement,"Республика Мордовия"
"Старая Муравьевка",settlement,"Республика Мордовия"
"Старый Усад",settlement,"Республика Мордовия"
"Стрелецкая Слобода",settlement,"Республика Мордовия"
"Сузгарье",settlement,"Республика Мордовия"
"Татарская Пишля",settlement,"Республика Мордовия"
"Татарский Шебдас",settlement,"Республика Мордовия"
"Тепловка",settlement,"Республика Мордовия"
"Трускляй",settlement,"Республика Мордовия"
"Ускляй",settlement,"Республика Мордовия"
"Хованщина",settlement,"Республика Мордовия"
"Шишкеево",settlement,"Республика Мордовия"
"Яковщина",settlement,"Республика Мордовия"
"Разъезд 9 км",settlement,"Республика Мордовия"
"Красное Сельцо",settlement,"Республика Мордовия"
"Старошайговский",district,"Республика Мордовия"
"Старое Шайгово",settlement,"Республика Мордовия"
"Авгуры",settlement,"Республика Мордовия"
"Акшов",settlement,"Республика Мордовия"
"Богдановка",settlement,"Республика Мордовия"
"Бугро-Ключи",settlement,"Республика Мордовия"
"Вертелим",settlement,"Республика Мордовия"
"Верхняя Верченка",settlement,"Республика Мордовия"
"Верякуши",settlement,"Республика Мордовия"
"Восход",settlement,"Республика Мордовия"
"Гавриловка",settlement,"Республика Мордовия"
"Говорово",settlement,"Республика Мордовия"
"Ивановка",settlement,"Республика Мордовия"
"Ингенер-Пятина",settlement,"Республика Мордовия"
"Ирсеть",settlement,"Республика Мордовия"
"Кивчей",settlement,"Республика Мордовия"
"Клад",settlement,"Республика Мордовия"
"Конопать",settlement,"Республика Мордовия"
"Красная Поляна",settlement,"Республика Мордовия"
"Красная Рудня",settlement,"Республика Мордовия"
"Красный",settlement,"Республика Мордовия"
"Кувай",settlement,"Республика Мордовия"
"Кулдым",settlement,"Республика Мордовия"
"Лемдяйский Майдан",settlement,"Республика Мордовия"
"Лемдяй",settlement,"Республика Мордовия"
"Летки",settlement,"Республика Мордовия"
"Малькеевка",settlement,"Республика Мордовия"
"Мельцаны",settlement,"Республика Мордовия"
"Мизеряне",settlement,"Республика Мордовия"
"Надеждинка",settlement,"Республика Мордовия"
"Нижняя Верченка",settlement,"Республика Мордовия"
"Николаевка",settlement,"Республика Мордовия"
"Новая Александровка",settlement,"Республика Мордовия"
"Новая Обуховка",settlement,"Республика Мордовия"
"Новая Теризморга",settlement,"Республика Мордовия"
"Новая Федоровка",settlement,"Республика Мордовия"
"Новое Акшино",settlement,"Республика Мордовия"
"Новотроицкое",settlement,"Республика Мордовия"
"Ожга 2-я",settlement,"Республика Мордовия"
"Оржевка",settlement,"Республика Мордовия"
"Павловка",settlement,"Республика Мордовия"
"Подверниха",settlement,"Республика Мордовия"
"Поруб",settlement,"Республика Мордовия"
"Ровный",settlement,"Республика Мордовия"
"Рязановка",settlement,"Республика Мордовия"
"Никольская Саловка",settlement,"Республика Мордовия"
"Сарга",settlement,"Республика Мордовия"
"Старая Обуховка",settlement,"Республика Мордовия"
"Старая Теризморга",settlement,"Республика Мордовия"
"Старая Федоровка",settlement,"Республика Мордовия"
"Старое Акшино",settlement,"Республика Мордовия"
"Темяшево",settlement,"Республика Мордовия"
"Трегубовка",settlement,"Республика Мордовия"
"Удобный",settlement,"Республика Мордовия"
"Хитровка",settlement,"Республика Мордовия"
"Шигонь",settlement,"Республика Мордовия"
"Шувары",settlement,"Республика Мордовия"
"Ягодная Поляна",settlement,"Республика Мордовия"
"Темниковский",district,"Республика Мордовия"
"Агеево",settlement,"Республика Мордовия"
"Айкеево",settlement,"Республика Мордовия"
"Айсино",settlement,"Республика Мордовия"
"Аксел",settlement,"Республика Мордовия"
"Александровка",settlement,"Республика Мордовия"
"Алексеевка",settlement,"Республика Мордовия"
"Алкаево",settlement,"Республика Мордовия"
"Андреевка (Андреевское с/п)",settlement,"Республика Мордовия"
"Андреевка (Жегаловское с/п)",settlement,"Республика Мордовия"
"Армеевка",settlement,"Республика Мордовия"
"Бабеево",settlement,"Республика Мордовия"
"Бегишево",settlement,"Республика Мордовия"
"Бочино",settlement,"Республика Мордовия"
"Булаево",settlement,"Республика Мордовия"
"Буртасы",settlement,"Республика Мордовия"
"Верясы",settlement,"Республика Мордовия"
"Веселый",settlement,"Республика Мордовия"
"Высокое",settlement,"Республика Мордовия"
"Максима Горького",settlement,"Республика Мордовия"
"Дасаево",settlement,"Республика Мордовия"
"Дашкино",settlement,"Республика Мордовия"
"Дегтярево",settlement,"Республика Мордовия"
"Енаково",settlement,"Республика Мордовия"
"Енгуразово",settlement,"Республика Мордовия"
"Жегалово",settlement,"Республика Мордовия"
"Ивановка",settlement,"Республика Мордовия"
"Идеево",settlement,"Республика Мордовия"
"Итяково",settlement,"Республика Мордовия"
"Ишейки",settlement,"Республика Мордовия"
"Кицаевка",settlement,"Республика Мордовия"
"Козловка",settlement,"Республика Мордовия"
"Кондровка",settlement,"Республика Мордовия"
"Кочемасово",settlement,"Республика Мордовия"
"Красный",settlement,"Республика Мордовия"
"Кривошеево",settlement,"Республика Мордовия"
"Кушки",settlement,"Республика Мордовия"
"Лаврентьево",settlement,"Республика Мордовия"
"Лесное Ардашево",settlement,"Республика Мордовия"
"Лесное Кичатово",settlement,"Республика Мордовия"
"Лесное Плуксово",settlement,"Республика Мордовия"
"Лесное Цибаево",settlement,"Республика Мордовия"
"Лесные Сиялы",settlement,"Республика Мордовия"
"Малиновка",settlement,"Республика Мордовия"
"Матвеево",settlement,"Республика Мордовия"
"Митрялы",settlement,"Республика Мордовия"
"Нижние Борки",settlement,"Республика Мордовия"
"Нижний Сатис",settlement,"Республика Мордовия"
"Николаевка",settlement,"Республика Мордовия"
"Новое Авкиманово",settlement,"Республика Мордовия"
"Новый Шукстелим",settlement,"Республика Мордовия"
"Оброчное",settlement,"Республика Мордовия"
"Павловка",settlement,"Республика Мордовия"
"Песочное Канаково",settlement,"Республика Мордовия"
"Пиевка",settlement,"Республика Мордовия"
"Плосское",settlement,"Республика Мордовия"
"Подайкеево",settlement,"Республика Мордовия"
"Подгорное Канаково",settlement,"Республика Мордовия"
"Подгорные Селищи",settlement,"Республика Мордовия"
"Польское Ардашево",settlement,"Республика Мордовия"
"Польское Цибаево",settlement,"Республика Мордовия"
"Полянки",settlement,"Республика Мордовия"
"Поповка",settlement,"Республика Мордовия"
"Приютово",settlement,"Республика Мордовия"
"Пурдошки",settlement,"Республика Мордовия"
"Пушта",settlement,"Республика Мордовия"
"Романовский",settlement,"Республика Мордовия"
"Росстанье",settlement,"Республика Мордовия"
"Рощино",settlement,"Республика Мордовия"
"Русское Адаево",settlement,"Республика Мордовия"
"Русское Караево",settlement,"Республика Мордовия"
"Русское Тювеево",settlement,"Республика Мордовия"
"Санаксарь",settlement,"Республика Мордовия"
"Семеновка",settlement,"Республика Мордовия"
"Сендюково",settlement,"Республика Мордовия"
"Сосновка",settlement,"Республика Мордовия"
"Старая Ямская Слобода",settlement,"Республика Мордовия"
"Старое Авкиманово",settlement,"Республика Мордовия"
"Старый Город",settlement,"Республика Мордовия"
"Старый Ковыляй",settlement,"Республика Мордовия"
"Старый Шукстелим",settlement,"Республика Мордовия"
"Сухово",settlement,"Республика Мордовия"
"Тарханы",settlement,"Республика Мордовия"
"Татарское Адаево",settlement,"Республика Мордовия"
"Татарское Акашево",settlement,"Республика Мордовия"
"Большое Татарское Караево",settlement,"Республика Мордовия"
"Торфоразработки",settlement,"Республика Мордовия"
"Третьяково",settlement,"Республика Мордовия"
"Тумсово",settlement,"Республика Мордовия"
"Урей 3-й",settlement,"Республика Мордовия"
"Ушаковка",settlement,"Республика Мордовия"
"Чекаевка",settlement,"Республика Мордовия"
"Чижиково",settlement,"Республика Мордовия"
"Чумартово",settlement,"Республика Мордовия"
"Шайгуши",settlement,"Республика Мордовия"
"Шумиловка",settlement,"Республика Мордовия"
"Шурбино",settlement,"Республика Мордовия"
"Темников",city,"Республика Мордовия"
"Теньгушевский",district,"Республика Мордовия"
"Теньгушево",settlement,"Республика Мордовия"
"Александровка",settlement,"Республика Мордовия"
"Атенино",settlement,"Республика Мордовия"
"Баево",settlement,"Республика Мордовия"
"Барашево",settlement,"Республика Мордовия"
"Башкирцы",settlement,"Республика Мордовия"
"Белорамино",settlement,"Республика Мордовия"
"Березняк",settlement,"Республика Мордовия"
"Березово",settlement,"Республика Мордовия"
"Веденяпино",settlement,"Республика Мордовия"
"Вечкидеево",settlement,"Республика Мордовия"
"Вяжга",settlement,"Республика Мордовия"
"Дачный",settlement,"Республика Мордовия"
"Дудниково",settlement,"Республика Мордовия"
"Ивановка",settlement,"Республика Мордовия"
"Клемещей",settlement,"Республика Мордовия"
"Коломасово",settlement,"Республика Мордовия"
"Красный Яр",settlement,"Республика Мордовия"
"Куликово",settlement,"Республика Мордовия"
"Кураево",settlement,"Республика Мордовия"
"Малая Шокша",settlement,"Республика Мордовия"
"Мельсетьево",settlement,"Республика Мордовия"
"Нагорная",settlement,"Республика Мордовия"
"Нароватово",settlement,"Республика Мордовия"
"Новая Качеевка",settlement,"Республика Мордовия"
"Полярная Звезда",settlement,"Республика Мордовия"
"Завод",settlement,"Республика Мордовия"
"Садовый",settlement,"Республика Мордовия"
"Сакаевский Майдан",settlement,"Республика Мордовия"
"Сакаево",settlement,"Республика Мордовия"
"Стандрово",settlement,"Республика Мордовия"
"Старая Качеевка",settlement,"Республика Мордовия"
"Такушево",settlement,"Республика Мордовия"
"Телимерки",settlement,"Республика Мордовия"
"Феклисов",settlement,"Республика Мордовия"
"Хлебино",settlement,"Республика Мордовия"
"Шелубей",settlement,"Республика Мордовия"
"Широмасово",settlement,"Республика Мордовия"
"Шокша",settlement,"Республика Мордовия"
"Торбеевский",district,"Республика Мордовия"
"Торбеево",settlement,"Республика Мордовия"
"Аксеновка",settlement,"Республика Мордовия"
"Бобровка",settlement,"Республика Мордовия"
"Большая Ивановка",settlement,"Республика Мордовия"
"Варжеляй",settlement,"Республика Мордовия"
"Верхняя Рахманка",settlement,"Республика Мордовия"
"Виндрей",settlement,"Республика Мордовия"
"Вязовка",settlement,"Республика Мордовия"
"Гальчевка",settlement,"Республика Мордовия"
"Дракино",settlement,"Республика Мордовия"
"Жуково",settlement,"Республика Мордовия"
"Ивановка",settlement,"Республика Мордовия"
"Кажлодка",settlement,"Республика Мордовия"
"Козловка",settlement,"Республика Мордовия"
"Красаевка",settlement,"Республика Мордовия"
"Красная Поляна",settlement,"Республика Мордовия"
"Красноармейский",settlement,"Республика Мордовия"
"Краснополье",settlement,"Республика Мордовия"
"Куликово",settlement,"Республика Мордовия"
"Лопатино",settlement,"Республика Мордовия"
"Майский",settlement,"Республика Мордовия"
"Малышево",settlement,"Республика Мордовия"
"Мальцево",settlement,"Республика Мордовия"
"Мокша",settlement,"Республика Мордовия"
"Мордовские Юнки",settlement,"Республика Мордовия"
"Московка",settlement,"Республика Мордовия"
"Моховая Рахманка",settlement,"Республика Мордовия"
"Никольское",settlement,"Республика Мордовия"
"Новая Пичеморга",settlement,"Республика Мордовия"
"Новое Четово",settlement,"Республика Мордовия"
"Носакино",settlement,"Республика Мордовия"
"Покровские Выселки",settlement,"Республика Мордовия"
"Решетино",settlement,"Республика Мордовия"
"Савва",settlement,"Республика Мордовия"
"Саввинские Выселки",settlement,"Республика Мордовия"
"Салазгорь",settlement,"Республика Мордовия"
"Самбур",settlement,"Республика Мордовия"
"Самозванка",settlement,"Республика Мордовия"
"Селижай",settlement,"Республика Мордовия"
"Семеновка",settlement,"Республика Мордовия"
"Семивражки",settlement,"Республика Мордовия"
"Слаим",settlement,"Республика Мордовия"
"Старое Четово",settlement,"Республика Мордовия"
"Старые Пичуры",settlement,"Республика Мордовия"
"Сургодь",settlement,"Республика Мордовия"
"Татарские Юнки",settlement,"Республика Мордовия"
"Хилково",settlement,"Республика Мордовия"
"Центральный",settlement,"Республика Мордовия"
"Шимаревка",settlement,"Республика Мордовия"
"Шмидовка",settlement,"Республика Мордовия"
"Светлый Путь",settlement,"Республика Мордовия"
"Зарубята",settlement,"Республика Мордовия"
"Жукулуг",settlement,"Республика Мордовия"
"Мазилуг",settlement,"Республика Мордовия"
"Маяк",settlement,"Республика Мордовия"
"Чамзинский",district,"Республика Мордовия"
"Чамзинка",settlement,"Республика Мордовия"
"Азарьевка",settlement,"Республика Мордовия"
"Александровка",settlement,"Республика Мордовия"
"Алексеевка",settlement,"Республика Мордовия"
"Альза",settlement,"Республика Мордовия"
"Апраксино",settlement,"Республика Мордовия"
"Большие Ремезенки",settlement,"Республика Мордовия"
"Большое Маресево",settlement,"Республика Мордовия"
"Железный",settlement,"Республика Мордовия"
"Знаменское",settlement,"Республика Мордовия"
"Иванова Поляна",settlement,"Республика Мордовия"
"Инелей",settlement,"Республика Мордовия"
"Каменка",settlement,"Республика Мордовия"
"Каменский",settlement,"Республика Мордовия"
"Киржеманы",settlement,"Республика Мордовия"
"Комсомольский",settlement,"Республика Мордовия"
"Карсаковка 1-я",settlement,"Республика Мордовия"
"Карсаковка 2-я",settlement,"Республика Мордовия"
"Кочкуши",settlement,"Республика Мордовия"
"Красногорное",settlement,"Республика Мордовия"
"Красный Воин",settlement,"Республика Мордовия"
"Красный Поселок",settlement,"Республика Мордовия"
"Кульмино",settlement,"Республика Мордовия"
"Люля",settlement,"Республика Мордовия"
"Макеевка",settlement,"Республика Мордовия"
"Маколово",settlement,"Республика Мордовия"
"Маколовские Выселки",settlement,"Республика Мордовия"
"Малое Маресево",settlement,"Республика Мордовия"
"Малые Ремезенки",settlement,"Республика Мордовия"
"Мары",settlement,"Республика Мордовия"
"Мачказерово",settlement,"Республика Мордовия"
"Медаево",settlement,"Республика Мордовия"
"Мичурино",settlement,"Республика Мордовия"
"Мокшалей",settlement,"Республика Мордовия"
"Нагорная Вышенка",settlement,"Республика Мордовия"
"Наченалы",settlement,"Республика Мордовия"
"Новоселки",settlement,"Республика Мордовия"
"Обуховка",settlement,"Республика Мордовия"
"Огаревка",settlement,"Республика Мордовия"
"Отрадное",settlement,"Республика Мордовия"
"Пенькозавод",settlement,"Республика Мордовия"
"Пичеуры",settlement,"Республика Мордовия"
"Пянгелей",settlement,"Республика Мордовия"
"Репакуши",settlement,"Республика Мордовия"
"Репьевка",settlement,"Республика Мордовия"
"Сабур-Мачкасы",settlement,"Республика Мордовия"
"Семеновка",settlement,"Республика Мордовия"
"Сорлиней",settlement,"Республика Мордовия"
"Смирновка",settlement,"Республика Мордовия"
"Соколов Гарт",settlement,"Республика Мордовия"
"Сырятино",settlement,"Республика Мордовия"
"Тепловка",settlement,"Республика Мордовия"
"Горбуновка",settlement,"Республика Мордовия"
"Жатай",settlement,"Республика Саха (Якутия)"
"Якутск",city,"Республика Саха (Якутия)"
"Табага",settlement,"Республика Саха (Якутия)"
"Тулагино",settlement,"Республика Саха (Якутия)"
"Капитоновка",settlement,"Республика Саха (Якутия)"
"Кильдямцы",settlement,"Республика Саха (Якутия)"
"Пригородный",settlement,"Республика Саха (Якутия)"
"Сырдах",settlement,"Республика Саха (Якутия)"
"Владимировка",settlement,"Республика Саха (Якутия)"
"Старая Табага",settlement,"Республика Саха (Якутия)"
"Хатассы",settlement,"Республика Саха (Якутия)"
"Маган",settlement,"Республика Саха (Якутия)"
"Нерюнгри",city,"Республика Саха (Якутия)"
"Беркакит",settlement,"Республика Саха (Якутия)"
"Большой Хатыми",settlement,"Республика Саха (Якутия)"
"Золотинка",settlement,"Республика Саха (Якутия)"
"Иенгра",settlement,"Республика Саха (Якутия)"
"Серебряный Бор",settlement,"Республика Саха (Якутия)"
"Хани",settlement,"Республика Саха (Якутия)"
"Чульман",settlement,"Республика Саха (Якутия)"
"Абыйский",district,"Республика Саха (Якутия)"
"Белая Гора",settlement,"Республика Саха (Якутия)"
"Абый",settlement,"Республика Саха (Якутия)"
"Кенг-Кюель",settlement,"Республика Саха (Якутия)"
"Куберганя",settlement,"Республика Саха (Якутия)"
"Деску",settlement,"Республика Саха (Якутия)"
"Сутуруоха",settlement,"Республика Саха (Якутия)"
"Сыаганнах",settlement,"Республика Саха (Якутия)"
"Алданский",district,"Республика Саха (Якутия)"
"Большой Нимныр",settlement,"Республика Саха (Якутия)"
"Верхний Куранах",settlement,"Республика Саха (Якутия)"
"Верхняя Амга",settlement,"Республика Саха (Якутия)"
"Кутана",settlement,"Республика Саха (Якутия)"
"Лебединый",settlement,"Республика Саха (Якутия)"
"Ленинский",settlement,"Республика Саха (Якутия)"
"Нижний Куранах",settlement,"Республика Саха (Якутия)"
"Угоян",settlement,"Республика Саха (Якутия)"
"Улу",settlement,"Республика Саха (Якутия)"
"Хатыстыр",settlement,"Республика Саха (Якутия)"
"Чагда",settlement,"Республика Саха (Якутия)"
"Ыллымах",settlement,"Республика Саха (Якутия)"
"Якокит",settlement,"Республика Саха (Якутия)"
"Якокут",settlement,"Республика Саха (Якутия)"
"Орочен 1-й",settlement,"Республика Саха (Якутия)"
"Алдан",city,"Республика Саха (Якутия)"
"Орочен 2-й",settlement,"Республика Саха (Якутия)"
"Томмот",city,"Республика Саха (Якутия)"
"Аллаиховский",district,"Республика Саха (Якутия)"
"Чокурдах",settlement,"Республика Саха (Якутия)"
"Нычалах",settlement,"Республика Саха (Якутия)"
"Оленегорск",settlement,"Республика Саха (Якутия)"
"Русское Устье",settlement,"Республика Саха (Якутия)"
"Чкалов",settlement,"Республика Саха (Якутия)"
"Амгинский",district,"Республика Саха (Якутия)"
"Амга",settlement,"Республика Саха (Якутия)"
"Абага",settlement,"Республика Саха (Якутия)"
"Алтанцы",settlement,"Республика Саха (Якутия)"
"Бетюнцы",settlement,"Республика Саха (Якутия)"
"Болугур",settlement,"Республика Саха (Якутия)"
"Михайловка",settlement,"Республика Саха (Якутия)"
"Мяндиги",settlement,"Республика Саха (Якутия)"
"Оннес",settlement,"Республика Саха (Якутия)"
"Покровка",settlement,"Республика Саха (Якутия)"
"Сатагай",settlement,"Республика Саха (Якутия)"
"Сулгаччы",settlement,"Республика Саха (Якутия)"
"Чакыр 2-й",settlement,"Республика Саха (Якутия)"
"Чапчылган",settlement,"Республика Саха (Якутия)"
"Эмиссы",settlement,"Республика Саха (Якутия)"
"Булун",settlement,"Республика Саха (Якутия)"
"Ефремово",settlement,"Республика Саха (Якутия)"
"Олом",settlement,"Республика Саха (Якутия)"
"Уорай",settlement,"Республика Саха (Якутия)"
"Промкомбинат",settlement,"Республика Саха (Якутия)"
"Сэргэ-Бэс",settlement,"Республика Саха (Якутия)"
"Тегюльтя",settlement,"Республика Саха (Якутия)"
"Анабарский",district,"Республика Саха (Якутия)"
"Саскылах",settlement,"Республика Саха (Якутия)"
"Эбелях",settlement,"Республика Саха (Якутия)"
"Юрюнг-Хая",settlement,"Республика Саха (Якутия)"
"Булунский",district,"Республика Саха (Якутия)"
"Тикси",settlement,"Республика Саха (Якутия)"
"Быковский",settlement,"Республика Саха (Якутия)"
"Кюсюр",settlement,"Республика Саха (Якутия)"
"Найба",settlement,"Республика Саха (Якутия)"
"Намы",settlement,"Республика Саха (Якутия)"
"Сиктях",settlement,"Республика Саха (Якутия)"
"Таймылыр",settlement,"Республика Саха (Якутия)"
"Усть-Оленек",settlement,"Республика Саха (Якутия)"
"Тикси 3-й",settlement,"Республика Саха (Якутия)"
"Чекуровка",settlement,"Республика Саха (Якутия)"
"Склад",settlement,"Республика Саха (Якутия)"
"Верхневилюйский",district,"Республика Саха (Якутия)"
"Верхневилюйск",settlement,"Республика Саха (Якутия)"
"Андреевский",settlement,"Республика Саха (Якутия)"
"Балаганнах",settlement,"Республика Саха (Якутия)"
"Ботулу",settlement,"Республика Саха (Якутия)"
"Быракан",settlement,"Республика Саха (Якутия)"
"Куду",settlement,"Республика Саха (Якутия)"
"Далыр",settlement,"Республика Саха (Якутия)"
"Дюллюкю",settlement,"Республика Саха (Якутия)"
"Харыялах",settlement,"Республика Саха (Якутия)"
"Кетердех",settlement,"Республика Саха (Якутия)"
"Кырыкый",settlement,"Республика Саха (Якутия)"
"Май",settlement,"Республика Саха (Якутия)"
"Харбала",settlement,"Республика Саха (Якутия)"
"Сайылык",settlement,"Республика Саха (Якутия)"
"Хомустах",settlement,"Республика Саха (Якутия)"
"Липпе-Атах",settlement,"Республика Саха (Якутия)"
"Оросу",settlement,"Республика Саха (Якутия)"
"Багадя",settlement,"Республика Саха (Якутия)"
"Тамалакан",settlement,"Республика Саха (Якутия)"
"Оргет",settlement,"Республика Саха (Якутия)"
"Туобуя",settlement,"Республика Саха (Якутия)"
"Кюль",settlement,"Республика Саха (Якутия)"
"Хомустах",settlement,"Республика Саха (Якутия)"
"Хоро",settlement,"Республика Саха (Якутия)"
"Кулусуннах",settlement,"Республика Саха (Якутия)"
"Бютейдях",settlement,"Республика Саха (Якутия)"
"Быччагдан",settlement,"Республика Саха (Якутия)"
"Ченгере",settlement,"Республика Саха (Якутия)"
"Кенг-Кюель",settlement,"Республика Саха (Якутия)"
"Верхнеколымский",district,"Республика Саха (Якутия)"
"Зырянка",settlement,"Республика Саха (Якутия)"
"Верхнеколымск",settlement,"Республика Саха (Якутия)"
"Нелемное",settlement,"Республика Саха (Якутия)"
"Угольное",settlement,"Республика Саха (Якутия)"
"Усун-Кюель",settlement,"Республика Саха (Якутия)"
"Утая",settlement,"Республика Саха (Якутия)"
"Верхоянский",district,"Республика Саха (Якутия)"
"Батагай",settlement,"Республика Саха (Якутия)"
"Алысардах",settlement,"Республика Саха (Якутия)"
"Бала",settlement,"Республика Саха (Якутия)"
"Барылас",settlement,"Республика Саха (Якутия)"
"Бетенкес",settlement,"Республика Саха (Якутия)"
"Боронук",settlement,"Республика Саха (Якутия)"
"Томтор",settlement,"Республика Саха (Якутия)"
"Мачах",settlement,"Республика Саха (Якутия)"
"Метяки",settlement,"Республика Саха (Якутия)"
"Осохтох",settlement,"Республика Саха (Якутия)"
"Сайды",settlement,"Республика Саха (Якутия)"
"Столбы",settlement,"Республика Саха (Якутия)"
"Суордах",settlement,"Республика Саха (Якутия)"
"Сысы-Мейите",settlement,"Республика Саха (Якутия)"
"Токума",settlement,"Республика Саха (Якутия)"
"Томтор",settlement,"Республика Саха (Якутия)"
"Улахан-Кюель",settlement,"Республика Саха (Якутия)"
"Хайысардах",settlement,"Республика Саха (Якутия)"
"Чолбон",settlement,"Республика Саха (Якутия)"
"Черюмче",settlement,"Республика Саха (Якутия)"
"Эсэ-Хайя",settlement,"Республика Саха (Якутия)"
"Юнкюр",settlement,"Республика Саха (Якутия)"
"Юттях",settlement,"Республика Саха (Якутия)"
"Сентачан",settlement,"Республика Саха (Якутия)"
"Усть-Чаркы",settlement,"Республика Саха (Якутия)"
"Энгя-Сайылыга",settlement,"Республика Саха (Якутия)"
"Юрдюк Кумах",settlement,"Республика Саха (Якутия)"
"Тала",settlement,"Республика Саха (Якутия)"
"Верхоянск",city,"Республика Саха (Якутия)"
